ID AVA;Disciplina;Temática;Unidade;Título;Arquivo;TIPO;ID;ROTA
19;SC APRESENTAÇÃO DO CURSO;Apresentação;;;;DIVISOR;97;19
19;SC APRESENTAÇÃO DO CURSO;Apresentação;Apresentação do Curso;APRESENTAÇÃO DO CURSO;apresentacao-1.html;CONTEUDO;603;19
19;SC APRESENTAÇÃO DO CURSO;Apresentação;Ambientação;AMBIENTAÇÃO;apresentacao-3.html;CONTEUDO;602;19
19;SC APRESENTAÇÃO DO CURSO;Apresentação;Estrutura do Curso;ESTRUTURA DO CURSO;apresentacao-2.html;CONTEUDO;601;19
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;;;;DIVISOR;114;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;UNIDADE 01;UT1 UE1 - COMPORTAMENTO SOLIDÁRIO NO TRÂNSITO;tematica1-unid1.html;CONTEÚDO;696;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;UNIDADE 02;UT1 UE2 - O INDIVÍDUO, O GRUPO E A SOCIEDADE;tematica1-unid2.html;CONTEÚDO;697;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;UNIDADE 03;UT1 UE3 - RESPONSABILIDADE DO CONDUTOR EM RELAÇÃO AOS DEMAIS ATORES DO PROCESSO DE CIRCULAÇÃO;tematica1-unid3.html;CONTEÚDO;698;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;UNIDADE 04;UT1 UE4 - RESPEITO ÀS NORMAS ESTABELECIDAS PARA SEGURANÇA NO TRÂNSITO;tematica1-unid4.html;CONTEÚDO;699;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;UNIDADE 05;UT1 UE5  - PAPEL DOS AGENTES DE FISCALIZAÇÃO DE TRÂNSITO;tematica1-unid5.html;CONTEÚDO;700;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 01;VIDEOAULA;VIDEOAULA - RELACIONAMENTO INTERPESSOAL;videoaula-ut1.html;CONTEÚDO;733;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;;;;DIVISOR;115;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 01;UT2 UE1 - CÓDIGO DE TRÂNSITO BRASILEIRO;tematica2-unid1.html;CONTEÚDO;701;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 02;UT2 UE2 - DIREITOS E DEVERES DO CIDADÃO NO TRÂNSITO;tematica2-unid2.html;CONTEÚDO;702;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 03;UT2 UE3 - SISTEMA NACIONAL DE TRÂNSITO (SNT);tematica2-unid3.html;CONTEÚDO;703;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 04;UT2 UE4 - CLASSIFICAÇÃO GERAL DOS VEÍCULOS E CATEGORIAS DE HABILITAÇÃO;tematica2-unid4.html;CONTEÚDO;704;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 05;UT2 UE5 - FORMAÇÃO DO CONDUTOR;tematica2-unid5.html;CONTEÚDO;705;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 06;UT2 UE6 - DOCUMENTOS DO CONDUTOR E DO VEÍCULO: VALIDADE E APRESENTAÇÃO;tematica2-unid6.html;CONTEÚDO;706;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 07;UT2 UE7 - VIAS TERRESTRES;tematica2-unid7.html;CONTEÚDO;707;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 08;UT2 UE8 - NORMAS DE CIRCULAÇÃO E CONDUTA;tematica2-unid8.html;CONTEÚDO;708;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 09;UT2 UE9 - SINALIZAÇÃO DE TRÂNSITO;tematica2-unid9.html;CONTEÚDO;709;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 10;UT2 UE10 - INFRAÇÕES DE TRÂNSITO, PENALIDADES E MEDIDAS ADMINISTRATIVAS;tematica2-unid10.html;CONTEÚDO;710;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;UNIDADE 11;UT2 UE11 - INFRAÇÕES DE TRÂNSITO PREVISTAS NO CÓDIGO DE TRÂNSITO BRASILEIRO (CTB);tematica2-unid11.html;CONTEÚDO;711;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 02;VIDEOAULA;VIDEOAULA - LEGISLAÇÃO DE TRÂNSITO;videoaula-ut2.html;CONTEÚDO;734;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;;;;DIVISOR;116;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;UNIDADE 01;UT3 UE1 - CONCEITO DE DIREÇÃO DEFENSIVA;tematica3-unid1.html;CONTEÚDO;712;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;UNIDADE 02;UT3 UE2 - CONDIÇÕES ADVERSAS E SITUAÇÕES DE RISCO;tematica3-unid2.html;CONTEÚDO;713;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;UNIDADE 03;UT3 UE3 - COMO EVITAR ACIDENTES;tematica3-unid3.html;CONTEÚDO;714;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;UNIDADE 04;UT3 UE4 - CUIDADO COM OS DEMAIS USUÁRIOS DA VIA;tematica3-unid4.html;CONTEÚDO;715;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 03;VIDEOAULA;VIDEOAULA - DIREÇÃO DEFENSIVA;videoaula-ut3.html;CONTEÚDO;732;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;;;;DIVISOR;117;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 01;UT4 UE1 - PRIMEIROS SOCORROS EM ACIDENTES DE TRÂNSITO;tematica4-unid1.html;CONTEÚDO;716;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 02;UT4 UE2 - SINAIS VITAIS;tematica4-unid2.html;CONTEÚDO;717;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 03;UT4 UE3 - PARADA CARDIOPULMONAR (PCR);tematica4-unid3.html;CONTEÚDO;718;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 04;UT4 UE4 - REANIMAÇÃO CARDIOPULMONAR (RCP);tematica4-unid4.html;CONTEÚDO;719;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 05;UT4 UE5 - PARADA RESPIRATÓRIA;tematica4-unid5.html;CONTEÚDO;720;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 06;UT4 UE6 - OBSTRUÇÃO DE VIAS AÉREAS;tematica4-unid6.html;CONTEÚDO;721;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 07;UT4 UE7 - CHOQUE;tematica4-unid7.html;CONTEÚDO;722;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 08;UT4 UE8 - HEMORRAGIA;tematica4-unid8.html;CONTEÚDO;723;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 09;UT4 UE9 - AMPUTAÇÃO;tematica4-unid9.html;CONTEÚDO;724;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 10;UT4 UE10 - FRATURAS;tematica4-unid10.html;CONTEÚDO;725;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 11;UT4 UE11 - CONVULSÃO;tematica4-unid11.html;CONTEÚDO;726;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 12;UT4 UE12 - DESMAIO;tematica4-unid12.html;CONTEÚDO;727;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 13;UT4 UE13 - AFOGAMENTO;tematica4-unid13.html;CONTEÚDO;728;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;UNIDADE 14;UT4 UE14 - QUEIMADURAS;tematica4-unid14.html;CONTEÚDO;729;27
27;RECICLAGEM DE CONDUTORES INFRATORES 2.0;Temática 04;VIDEOAULA;VIDEOAULA - NOÇÕES DE PRIMEIROS SOCORROS;videoaula-ut4.html;CONTEÚDO;735;27